mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__early_stopping,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,param_mlp__solver,param_pls__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.0728040337562561,0.01598126495657601,0.0004552304744720459,5.591054681573053e-05,relu,0.03,True,"(10,)",0.0035,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.8438954437621212,-1.8846584141674643,0.7683083611692749,0.9471123563303279,0.531044578238073,0.6212153504379989,0.8302856167280419,0.7489198030936415,0.42576538694900185,0.8817155880843441,84
0.08556196093559265,0.04450976982465306,0.0006388425827026367,0.00033647769618141434,relu,0.03,True,"(10,)",0.0035,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.8248516085858524,-2.751562897191429,0.7525777160080035,0.9785804374540008,0.7528938070287869,0.19804813247378483,0.5899409412520031,0.18590370126633704,0.19140418085966746,1.1440634602553,399
0.04842802882194519,0.01364759853867413,0.0005247890949249268,0.00024049901564008363,relu,0.03,True,"(10,)",0.0043,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0043, 'mlp__solver': 'adam', 'pls__n_components': 6}",0.8672804521523496,-2.462454970545689,0.709158223698744,0.9567647030912882,0.4016138650705172,0.5188642055205612,0.7521562039641077,0.8814071521692295,0.3280987293901386,1.0692348328124892,224
0.06202965974807739,0.015253465790625276,0.0007228851318359375,0.00038169276899287366,relu,0.03,True,"(10,)",0.0043,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0043, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.8421951192886212,-1.911005098984873,0.7681381297970943,0.947947208509845,0.534857711204846,0.6254388673323628,0.8312196611788208,0.7447060162346414,0.4229372018201698,0.8903388339666901,96
0.057668477296829224,0.018594315723074364,0.000690072774887085,0.0004464309895662342,relu,0.03,True,"(10,)",0.0043,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0043, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.8211085133637519,-2.890817116164616,0.7667220527486953,0.9779114172782117,0.7459068065204896,0.1962003881689265,0.5885832073883941,0.185436034807837,0.17388141301396132,1.1889610244382085,426
0.04921296238899231,0.024473985247859625,0.0005227923393249512,0.00024091801476138904,relu,0.03,True,"(10,)",0.0046,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0046, 'mlp__solver': 'adam', 'pls__n_components': 6}",0.8683185006051143,-2.456745195569651,0.708841821457461,0.9571121484125952,0.4058981197235244,0.5203240368372856,0.7545828972363501,0.8781253789001326,0.3295572134503515,1.0674280203023259,214
0.0652560293674469,0.011116361097934395,0.0006592869758605957,0.00039509145046887604,relu,0.03,True,"(10,)",0.0046,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0046, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.8414394007115378,-1.9207668575819894,0.7682836377261009,0.9482780554416882,0.5169709676300228,0.6274964531143516,0.8326587728289427,0.7425721525248286,0.4196165727994354,0.8933068392956675,107
0.05679193139076233,0.018480040449110405,0.000652015209197998,0.000329500983382023,relu,0.03,True,"(10,)",0.0046,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0046, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.8206598611401104,-2.9110851427769995,0.7671082315172248,0.9779847299459016,0.7451449854693479,0.20103651955083124,0.5919233944665239,0.18641958284665516,0.17239902026994947,1.195607555120029,429
0.05010819435119629,0.018392173731319773,0.0005227327346801758,0.0002421202299609939,relu,0.03,True,"(10,)",0.0047,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0047, 'mlp__solver': 'adam', 'pls__n_components': 6}",0.8678569227582349,-2.500104871834632,0.709315989624494,0.9568586353773254,0.4067792243828202,0.5159686112872499,0.7530821896883263,0.8761019823296048,0.32323233545167795,1.0812582312647514,234
0.06157869100570679,0.01720473590157104,0.0007496178150177002,0.00041303456416715234,relu,0.03,True,"(10,)",0.0047,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0047, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.8416436967031646,-1.921007318048686,0.7675973658325548,0.9484243314187755,0.5159462758138604,0.6274723037637375,0.8330496503760179,0.7428737442898659,0.4195000062686613,0.8933966634455661,112
